      id  redshift          PSW             PSW_err          PMW             PMW_err          PLW             PLW_err                 IRAC1              IRAC1_err                 IRAC2              IRAC2_err                 IRAC3              IRAC3_err                 IRAC4              IRAC4_err                MIPS1             MIPS1_err                   S11                S11_err                  L15               L15_err                 L18W              L18W_err                 u_prime             u_prime_err                 g_prime             g_prime_err                 r_prime            r_prime_err                 i_prime             i_prime_err                z_prime             z_prime_err 
   565.0      0.54  42.49618414   7.194519575656124  39.65325824   7.447865473015835  26.77667459  7.3141351068609115                0.2455    0.02457118027283183   0.18724000000000002   0.018741082572786453               0.14341   0.014366167930245003               0.10547   0.010562391253878074              0.23332   0.02377342684595555               0.29924   0.030289302996272464              0.30063    0.0312634030297407                  nan                   nan   0.0018702799798317748    0.001101230854024014    0.007309819027000474   0.0010405771875068078    0.034348408957578354     0.6346285340700708     0.06980822975943886    0.007439502680960946    0.08788335439652332    0.008825532607257528 
   573.0      1.23  17.67273992   6.067105139373196  15.69296909      6.495686710863   9.14209165  6.8657361035042985               0.03327   0.003340498316119917               0.02707  0.0027235728372856124  0.023510000000000003  0.0023664532532885587               0.02027  0.0020449031761919684              0.18195  0.018540000674217894                   nan                    nan              0.18916  0.021285503423691912  0.21899000000000002  0.027939017538202736  0.00018193096580669952  0.00033896909673171595  0.00035310724223103793  0.00017276340445821417   0.0008315849579547005   0.018458812350402705   0.0021672380902993268  0.00045425304120699127  0.0027033770652787397   0.0003088706588607591 
   577.0      0.12  24.60845286   6.304129458742593  17.66559583   6.546150612073839  11.83507267   6.906769211739841               0.23845    0.02385586772682981               0.20238   0.020250803539612942               0.13363   0.013373506234342586               0.47053    0.04706049733056378  0.42067000000000004   0.05626854706672282               0.68743    0.06888559318899708   0.5770700000000001   0.05867788977971176   0.6037100000000001   0.06195052575240989    0.010277952944751744   0.0027548238601512536     0.05246946367807708    0.005591700535120047     0.10861920630887748     1.8818211065197727      0.1769728419075291    0.017995032880537155     0.2050721218568657    0.029001577599460752 
   588.0      2.11  13.91669692   5.968223117188894  17.83959487   6.550810704259042  19.69133877     7.0834702374593               0.01896  0.0019075942964896914               0.02393   0.002407083089550504               0.02634   0.002644022692792178               0.02014  0.0020229424114393373              0.26058  0.026276296618815975                   nan                    nan              0.08144  0.011757343917739244                  nan                   nan                     nan                     nan                     nan                     nan                     nan                    nan    4.69793090446345e-05   6.032786421375566e-05                    nan                     nan 
   591.0      1.55  41.03310329   7.110796925776425  27.80303144   6.892247099004448  11.59246842   6.906586727468939               0.03141  0.0032137643037410198               0.03896   0.003949850123738875               0.03243   0.003309478659849615               0.03666   0.003692310387819529              0.22281  0.022703580356410753                   nan                    nan                  nan                   nan                  nan                   nan                     nan                     nan                     nan                     nan                     nan                    nan  0.00034666230872578156  0.00016648591972143463                    nan                     nan 
   615.0      1.35  9.193426561    5.87623741229267  6.208303179   6.333738020606793  2.391489422   6.808655962614286  0.019629999999999998  0.0019776170003314593               0.02214  0.0022304026542308455                0.0169  0.0017098830369355676               0.01943   0.001969174700223421  0.07726000000000001  0.008313601866820423                   nan                    nan              0.12292  0.016336182663033615              0.17172  0.022820571509057353                     nan                     nan                     nan                     nan                     nan                    nan    0.000779662462109382  0.00024265708581876273  0.0009460337386495999   0.0001906762940908313 
   657.0      1.24   10.6143083   5.912295660581733  9.658638498   6.386845878164156  6.915770829   6.851947689316147  0.020100000000000003   0.002022003956474864                   nan                    nan               0.01348   0.001358677297962986                   nan                    nan              0.14059  0.014532648795040772                   nan                    nan                  nan                   nan                  nan                   nan   0.0003310599346861945   0.0004585727829164386   0.0009118147746379783  0.00028378731409170043   0.0014451290291091939    0.03127913989702629                     nan                     nan   0.002830783301199426   0.0003234272845483911 
   667.0      1.22  3.427437657   5.818115655146546  3.508552801    6.31634025926826   2.58410829   6.813975019737774               0.04826    0.00488547602593647  0.039920000000000004   0.004061842439090912                0.0261   0.002669400681801067               0.02481  0.0025232837731812884              0.18028  0.018370347955332798                   nan                    nan                  nan                   nan                  nan                   nan   0.0007868765900495496   0.0007073880275811129   0.0010277952944751747   0.0003020167908557454   0.0026055932773150427    0.05486096334320198   0.0056481552427264225   0.0008811182369450199   0.009725381019093104   0.0010089806662659409 
   678.0       1.0  11.82918468   5.925652575322942  7.660706675   6.351955523070405  1.936449174   6.810592085330789  0.040240000000000005    0.00406007093534091               0.03084  0.0031181173807283136                0.0218  0.0022128714377477967               0.01797  0.0018186833149286877              0.16594  0.016909267754695943                   nan                    nan                  nan                   nan                  nan                   nan   0.0003907568725476301   0.0004981973226749889   0.0007514613096111464   0.0002536303853742856   0.0015272376610355276    0.03297194534726515    0.004785271960959768   0.0007808466035000367   0.006605514116754236   0.0006853033337683326 
   811.0      0.96  8.573460149   5.866776418231581  4.580892353   6.319843586524382  0.341039566   6.804427925462318  0.053270000000000005   0.005341257249000465                0.0369  0.0037029987847689073               0.03218   0.003230158510042503  0.020980000000000002   0.002108483815446541              0.15415  0.015708043321814465               0.04211   0.006303064413442084              0.12578    0.0168684226885622              0.13779   0.01934624617335363   0.0010469034356349557   0.0008166941202299818   0.0021672380902993268  0.00047189186111910186   0.0036635879764583762    0.07588864897995665    0.009815368861715072   0.0013344223006488082   0.012356817286146333   0.0012564715069625215 
