ID	Amplitude	r_eff	n	Ellipticity	Theta	Amplitude_std	r_eff_std	n_std	Ellipticity_std	Theta_std
2009	3.3471223799363195e-05	1221.0350399495494	9.999999999997868	0.18278051863534509	1.5261942791752674	339.611135562872	339.611135562872	0.4844080633789621	0.006002375322214251	0.008603461913068247
2010	0.009923132722395606	128.76081233778055	0.5694086640375859	0.5772267953639657	0.767061649354921	5.172363784118322	5.172363784118322	0.03159338573949559	2.1038322126502433	2.0324890237271442
2008	6.372006275767434e-07	304351.8744627742	9.999999964281399	0.16779106691586057	0.851921023300625	1.1582726667594892e-07	1.1582726667594892e-07	0.03701367759274071	0.018576725781763715	0.024740829093917664
2007	0.06967256847582459	24.521979944079334	1.0175888018689392	0.6406758547162947	5.192765773467969	0.44495355141231746	0.44495355141231746	0.024119948974736568	0.07790222198151125	0.12564111285617138
15014	0.011625553369782413	177.52615623489507	2.3441774393438766	0.10338077492986607	4.35805699108826	14.361824303963328	14.361824303963328	0.07520996900656839	0.06939649922831037	0.05215793560754477
79340	1.7970369559980462e-06	27811.939153021995	9.999999999999998	0.21331761683604228	-0.34436286230222785	2.231837691839463e-06	2.231837691839463e-06	0.05220999481942777	0.011045383840838561	0.022805548690343746
15002	2.19862954597945e-06	31697.14069672995	9.999999999999998	0.1666653596283526	0.5697676715287958	1.1213215359817703e-06	1.1213215359817703e-06	0.03031225199626514	0.00860823277011677	0.012244636563335343
2160	0.0015876767920864178	1362.340176546596	3.343738234558588	0.2479656853066395	1.9540076521215812	102.33174286655557	102.33174286655557	0.06434630348985379	0.0425404466994239	0.0656283989515993
2323	0.011178023918543077	148.2899440412744	3.0050708131258514	0.5615976524751012	-0.2894151541065678	7.89476745457962	7.89476745457962	0.06190026688305166	0.04351606517243483	0.02192925854544689
1145	0.02165891827475645	60.905957060086926	2.8222825479739013	0.2412447978024787	0.736102691968823	2.315112835585479	2.315112835585479	0.05115206430062878	0.024006644809182087	0.02412516851109581
2612	4.857888565291384e-06	10721.731264087392	9.999999999999998	0.21853422749137252	0.41675605150693346	3019.825470821389	3019.825470821389	0.37216488324621566	0.012049092981969935	0.0063514717669107745
1826	0.09683231859393683	6.7413173486521405	1.6780044761021908	0.3417939472135574	0.7056232068753343	0.059025566344074486	0.059025566344074486	0.014251504054722045	0.005529930742870605	0.006687670233904273
15404	0.020688487358614453	63.48949008148616	2.421334997613686	0.053450675936301185	-0.3125055738210422	1.1273273160313966	1.1273273160313966	0.021866049518506524	0.01944972861124599	0.016593733114730468
15681	0.0031399435341507927	58.51754863661577	5.284198806421725	0.33341225480258707	-1.2000176925530668	3.415221758068521	3.415221758068521	0.11099027108691996	0.00561450995566252	0.005702472371340615
1830	0.023503489274044196	117.6608388686557	1.6340424498285195	0.13983543295903209	1.4057075123410894	6.089726897987443	6.089726897987443	0.04412423542328757	0.11404875746154072	0.13281698615775572
2941	0.00410937239522663	261.473803756098	2.887771185980828	0.3576382642773019	1.024830734017038	10.274581217307281	10.274581217307281	0.04441915470223016	0.05186067695442292	0.050343490943586804
86174	0.12944929705080063	17.046420810117244	1.3302467750949196	0.6360448430796304	0.5645836826867994	0.13868181367164692	0.13868181367164692	0.011492301627511418	0.024144450610368205	0.017508570221845488
86687	3.947888753375519e-06	19091.254775110785	9.999999999999961	0.11845591112628363	2.7808226303052455	1.4681534143445478e-06	1.4681534143445478e-06	0.022739284273289237	0.00833421541417741	0.006420722047475031
1256	0.3248213800066052	5.211706856500851	9.971951056844835	0.9518886471602716	0.4645230910541508	8.60817254192895	8.60817254192895	23.171345504344064	0.2447074556110178	0.12220692460827945
1258	0.35050851694980545	3.7907855101451275	9.999960535751496	0.9691500775869303	0.46424291949992985	19.810976913274335	19.810976913274335	37.92500228912756	0.42682024769231675	0.21294582608975232
1265	0.007465719416233636	481.35417849892644	2.11065268750542	0.051763276570380934	-4.242843475381911	32.9038100415675	32.9038100415675	0.053480938149061574	0.16143288531558378	0.1626234778872695
16224	0.930491651614631	5.535814101499623	9.987703857045712	0.9807546700607191	0.4641574900886154	55.07911460951922	55.07911460951922	68.00384755977345	0.9748960902189793	0.4863347502323042
2367	0.3491298099302554	4.0346809054889725	9.983831939403524	0.9653157373179448	0.46191292923723504	26.371869133841283	26.371869133841283	52.02826055755989	0.4935486863436422	0.2449146800228392
2503	0.005000139185252438	2525.443745764562	1.9554591523714737	0.9589749505408635	1.7700049310711574	243.77410585081674	243.77410585081674	0.058312235252183535	0.4968691142529912	2.4340084084219145
83963	0.6020961736280942	6.086249808605275	9.988702694162859	0.9763292762496957	0.4640662349459433	36.06424656795693	36.06424656795693	49.84970687235758	0.7156112708295549	0.3570776370565093
2450	0.20603817420133083	7.220743793891459	9.801537397496988	0.9557751172356531	0.46451786275878326	13.639388079176967	13.639388079176967	37.96260069432114	0.46380965121157314	0.23196351272615603
16562	0.18311647196856284	4.20646912771266	9.99991771051034	0.9559741920849641	0.46533295042475603	26.687083474270196	26.687083474270196	68.37287975675746	0.6478178881317683	0.32415818355742393
36282	2.07965426111713e-05	3840.1473031614246	9.552604387157336	0.5294595095387982	-0.5121871976044978	1211.1821721767024	1211.1821721767024	0.46731018115176975	0.013991539004430755	0.008474819477954991
79198	0.005177488951318514	236.56770552760554	2.993061651861226	0.26233710504937674	1.8145468500336974	10.39856266551953	10.39856266551953	0.0513556730909369	0.02742012735460749	0.06052539481118469
